robot_name,num_trajectories,num_waypoints,ik_success_rate,trajectory_success_rate,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost
simple_default,2,236,0.419492,0.0,0.086471,0.24617,1.032323,0.65572,0.00874137,0.00011858,0.570736,0.00507904,0.0,1.08
panda_proxy,2,236,0.29661,0.0,0.107424,0.278809,1.09728,0.656297,0.00393214,2.11e-06,0.707689,0.0086019,0.0,1.04
ur5_proxy,2,236,0.449152,0.0,0.066394,0.209682,0.872451,0.550007,0.01599913,0.0001592,0.505637,0.00296213,0.0,1.113
xarm6_proxy,2,236,0.0,0.0,0.189976,0.372011,1.067109,0.624471,0.00055521,1.32e-05,1.0,0.0,0.0,0.946
