config,waypoint_index,success,position_error,orientation_error_rad,position_bad,orientation_bad,target_x,target_y,target_z
position_only_tcp_offset_0172,57,1,0.000233118,,0,0,0.051160212,0.219986917,0.954632933
position_only_tcp_offset_0172,58,1,0.000130335,,0,0,0.03983167,0.222259099,0.949632134
position_only_tcp_offset_0172,59,1,0.000343332,,0,0,0.023870109,0.231933511,0.944181884
position_only_tcp_offset_0172,60,1,0.000138453,,0,0,0.015321848,0.240379523,0.938369667
position_only_tcp_offset_0172,61,1,7.4736e-05,,0,0,0.012178162,0.246859443,0.932937515
position_only_tcp_offset_0172,62,1,7.9439e-05,,0,0,0.014014032,0.250006965,0.928144071
position_only_tcp_offset_0172,63,1,5.3506e-05,,0,0,0.017914107,0.250262294,0.927361131
position_only_tcp_offset_0172,64,1,0.000193433,,0,0,0.028264382,0.249543363,0.93240123
position_only_tcp_offset_0172,65,1,0.000118662,,0,0,0.035256699,0.249978727,0.941023287
position_only_tcp_offset_0172,66,1,0.000108579,,0,0,0.041088157,0.251529816,0.951161262
position_only_tcp_offset_0172,67,1,7.3215e-05,,0,0,0.046275355,0.25182388,0.957778404
position_only_tcp_offset_0172,68,1,0.00148442,,0,0,0.047700667,0.25182189,0.957957076
position_only_tcp_offset_0172,69,1,0.000136853,,0,0,0.053177598,0.246674471,0.95541762
position_only_tcp_offset_0172,70,1,6.9576e-05,,0,0,0.055853435,0.242899082,0.950716864
position_only_tcp_offset_0172,71,1,7.3828e-05,,0,0,0.05713878,0.240269508,0.944066423
position_only_tcp_offset_0172,72,1,7.329e-05,,0,0,0.056583161,0.240753007,0.936476557
position_only_tcp_offset_0172,73,1,2.6597e-05,,0,0,0.054110749,0.245804754,0.934588799
position_only_tcp_offset_0172,74,1,0.000129302,,0,0,0.052421065,0.25854594,0.937752605
position_only_tcp_offset_0172,75,1,7.1673e-05,,0,0,0.054046953,0.264533458,0.946587866
position_only_tcp_offset_0172,76,1,0.000111308,,0,0,0.05736477,0.269232957,0.959077807
position_only_tcp_offset_0172,77,1,0.000212549,,0,0,0.062182537,0.271953858,0.977805206
position_only_tcp_offset_0172,78,1,4.3706e-05,,0,0,0.063412091,0.271721836,0.987741532
position_only_tcp_offset_0172,79,1,2.0202e-05,,0,0,0.063841916,0.269260168,0.993535718
