robot_name,num_trajectories,num_waypoints,ik_success_rate,trajectory_success_rate,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,orientation_tolerance_rad,mean_orientation_error_rad,max_orientation_error_rad,pose_success_rate,trajectory_pose_success_rate,suite
xarm6_true,46,3680,0.861957,0.565217,0.004173,0.081758,1.113449,0.231786,0.06910925,0.02366729,0.0,0.00996095,0.00044186,1.030873,0.1,0.006064,0.284271,0.861957,0.565217,libero_goal
xarm6_true,62,4960,0.972782,0.790323,0.000848,0.038176,1.259808,0.366689,0.07919838,0.04684382,0.0,0.00636041,0.0,1.030873,0.1,0.001332,0.114411,0.972782,0.790323,libero_object
xarm6_true,42,3360,0.582738,0.047619,0.019225,0.0901,0.917266,0.227964,0.06001289,0.01137013,0.0,0.01458815,0.00031926,1.030873,0.1,0.015206,0.370028,0.582738,0.047619,libero_spatial
