robot_name,num_trajectories,num_waypoints,ik_success_rate,trajectory_success_rate,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,orientation_tolerance_rad,mean_orientation_error_rad,max_orientation_error_rad,pose_success_rate,trajectory_pose_success_rate,suite
xarm6_true,46,3680,0.790489,0.369565,0.007985,0.101999,1.271296,0.405183,0.13078216,0.04031721,0.0,0.01306902,0.00337849,1.202873,0.2,0.02194,0.572755,0.790489,0.369565,libero_goal
xarm6_true,62,4960,0.748589,0.274194,0.008816,0.095536,1.366238,0.602659,0.14370849,0.10023913,0.0,0.01514624,0.0,1.202873,0.2,0.019832,0.388143,0.748589,0.274194,libero_object
xarm6_true,42,3360,0.626488,0.047619,0.015872,0.10612,1.169517,0.52044,0.14433446,0.05410677,0.0,0.01395188,0.0021001,1.202873,0.2,0.026628,0.381259,0.626488,0.047619,libero_spatial
