robot_name,num_trajectories,num_waypoints,ik_success_rate,trajectory_success_rate,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,suite
ur5e_true,500,39981,0.987494,0.0,0.002106,0.221319,1.14373,0.280869,0.11637518,0.02483162,0.0,0.00105057,0.00240496,1.464731,libero_goal
ur5e_true,500,40000,0.9875,0.0,0.002036,0.215282,1.191089,0.246796,0.12511994,0.02355993,0.0,0.00120819,1.579e-05,1.464731,libero_object
ur5e_true,500,39994,0.987498,0.0,0.001983,0.246808,1.397965,0.269517,0.13375214,0.02195934,0.0,0.00128958,0.00147197,1.464731,libero_spatial
