robot_name,num_trajectories,num_waypoints,ik_success_rate,trajectory_success_rate,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,suite
simple_default,20,800,0.475,0.0,0.050375,0.246418,0.823938,0.042365,0.01058934,1.33e-06,0.5425,0.03075038,0.0,1.08,libero_spatial
panda_proxy,20,800,0.33875,0.0,0.070545,0.279102,0.796857,0.027842,0.00486745,5.6e-07,0.6925,0.0399526,0.0,1.04,libero_spatial
ur5_proxy,20,800,0.58875,0.0,0.032029,0.209453,0.804931,0.145352,0.02017922,1.63e-06,0.415,0.02185195,0.0,1.113,libero_spatial
xarm6_proxy,20,800,0.01,0.0,0.149203,0.372089,0.816078,0.010971,0.00072428,6e-07,1.0,0.0003729,0.0,0.946,libero_spatial
