robot_name,num_trajectories,num_waypoints,ik_success_rate,trajectory_success_rate,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost
simple_default,16,768,1.0,1.0,0.000264,0.001679,1.006847,0.325169,0.05378518,0.01425281,0.0,0.00223801,0.00053326,1.08
panda_proxy,16,768,0.954427,0.75,0.001683,0.058195,1.172104,0.337055,0.04102908,4.2e-07,0.040365,0.00324356,0.0,1.04
ur5_proxy,16,768,1.0,1.0,0.000243,0.001932,0.80031,0.300179,0.08152608,0.0219476,0.0,0.00129951,0.04176528,1.113
xarm6_proxy,16,768,0.93099,0.75,0.003013,0.078575,1.250737,0.347159,0.03568647,6.4e-07,0.052083,0.00390455,6.216e-05,0.946
