robot_name,num_trajectories,num_waypoints,ik_success_rate,trajectory_success_rate,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,orientation_tolerance_rad,mean_orientation_error_rad,max_orientation_error_rad,pose_success_rate,trajectory_pose_success_rate,suite
xarm6_true,46,3680,0.797011,0.369565,0.005032,0.068244,1.272262,0.433491,0.13137019,0.0403249,0.0,0.01274537,0.00308317,1.202873,0.1,0.028036,0.519879,0.797011,0.369565,libero_goal
xarm6_true,62,4960,0.757258,0.290323,0.005538,0.05901,1.368118,0.631271,0.14463343,0.1002345,0.0,0.012995,0.0,1.202873,0.1,0.027398,0.408453,0.757258,0.290323,libero_object
xarm6_true,42,3360,0.636012,0.071429,0.009373,0.064404,1.165612,0.538108,0.14470874,0.05413908,0.0,0.01392835,0.00182493,1.202873,0.1,0.043706,0.339237,0.636012,0.071429,libero_spatial
