robot_name,num_trajectories,num_waypoints,ik_success_rate,trajectory_success_rate,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,suite
ur5e_true_robotiq2f85_tcp_proxy,500,39981,1.0,1.0,0.000365,0.002,0.774395,1e-06,0.09499671,0.00861323,0.0,0.03750217,0.00517222,1.620531,libero_goal
ur5e_true_robotiq2f85_tcp_proxy,500,40000,1.0,1.0,0.000399,0.002,0.863525,0.265512,0.10118609,0.01960643,0.0,0.001862,3.2e-07,1.620531,libero_object
ur5e_true_robotiq2f85_tcp_proxy,500,39994,1.0,1.0,0.000359,0.002,1.014001,0.009788,0.12896293,0.00106691,0.0002,0.00175977,0.00304173,1.620531,libero_spatial
