robot_name,suite,task,episode_id,num_waypoints,ik_success_rate,trajectory_success,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,orientation_tolerance_rad,mean_orientation_error_rad,max_orientation_error_rad,pose_success_rate,trajectory_pose_success
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_26,80,1.0,1,0.000283,0.001641,1.69582,1.354665,0.11247293,0.07122468,0.0,0.99054379,0.00133661,1.620531,0.1,0.002112,0.046808,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_27,80,1.0,1,0.000314,0.001929,1.955111,1.309138,0.12550219,0.06841046,0.0,1.99087654,0.00025379,1.620531,0.1,0.00216,0.043467,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_28,80,1.0,1,0.000478,0.001693,1.734702,1.269665,0.11717031,0.06810086,0.0,2.97563157,0.00051074,1.620531,0.1,0.002412,0.04571,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_29,80,1.0,1,0.000406,0.001824,1.671465,1.307978,0.11246983,0.0697096,0.0,0.98629874,0.00033539,1.620531,0.1,0.002475,0.03858,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_3,80,1.0,1,0.00028,0.001885,1.748995,1.334874,0.11917179,0.07263826,0.0,1.48643188,0.00082838,1.620531,0.1,0.001563,0.038738,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_30,80,1.0,1,0.000256,0.001899,1.637775,1.327685,0.11716112,0.07053425,0.0,0.99736034,0.00023409,1.620531,0.1,0.001464,0.038051,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_31,80,1.0,1,0.000551,0.001956,1.931053,1.307746,0.12009663,0.06859337,0.0,1.48889439,0.00030984,1.620531,0.1,0.00376,0.086042,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_32,80,1.0,1,0.000307,0.001639,1.613978,1.34887,0.11924706,0.07236223,0.0,0.49766602,0.00036034,1.620531,0.1,0.001001,0.012279,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_33,80,1.0,1,0.00028,0.001996,1.86943,1.385909,0.12288675,0.07706756,0.0,1.4975626,0.00137291,1.620531,0.1,0.001615,0.041332,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_34,80,1.0,1,0.000328,0.001043,1.946848,1.328134,0.1243422,0.07018711,0.0,3.47405315,0.00098616,1.620531,0.1,0.003132,0.070757,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_35,80,1.0,1,0.00039,0.001927,1.770787,1.341214,0.11947631,0.07192687,0.0,2.94604718,0.00017015,1.620531,0.1,0.003739,0.052249,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_36,80,1.0,1,0.000246,0.001798,1.674693,1.364769,0.11347122,0.07212429,0.0,0.99872588,0.00035646,1.620531,0.1,0.002884,0.065297,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_37,80,1.0,1,0.000223,0.001939,1.726143,1.319607,0.11360187,0.06862624,0.0,1.99175813,0.00019008,1.620531,0.1,0.001152,0.036283,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_38,80,1.0,1,0.000257,0.001775,1.740303,1.330438,0.12067462,0.07099404,0.0,0.99502695,0.00026197,1.620531,0.1,0.001046,0.020032,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_39,80,1.0,1,0.000241,0.001643,1.619982,1.272859,0.10940413,0.06557095,0.0,0.49257196,0.00018174,1.620531,0.1,0.00234,0.048551,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_4,80,1.0,1,0.00046,0.001864,1.787758,1.329473,0.11645741,0.06988041,0.0,2.9846023,0.00090051,1.620531,0.1,0.007231,0.0882,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_40,80,1.0,1,0.0002,0.00129,1.961191,1.319753,0.12359577,0.07098415,0.0,1.99263862,0.0007003,1.620531,0.1,0.00085,0.017659,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_41,80,1.0,1,0.000351,0.001952,2.017979,1.360193,0.12653218,0.07304394,0.0,1.98962129,0.00088828,1.620531,0.1,0.00252,0.041949,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_42,80,1.0,1,0.000229,0.001733,1.763551,1.359467,0.11639438,0.07237856,0.0,2.97917053,0.00128256,1.620531,0.1,0.000997,0.038769,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_43,80,1.0,1,0.000327,0.001847,1.687361,1.268432,0.1072665,0.06992596,0.0,0.99264578,0.00028035,1.620531,0.1,0.002069,0.049476,1.0,1
