robot_name,num_trajectories,num_waypoints,ik_success_rate,trajectory_success_rate,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,suite
xarm6_true,46,3680,1.0,1.0,0.000276,0.001998,1.481903,1.048363,0.13264897,0.06357029,0.0,0.0010741,0.00250692,1.202873,libero_goal
xarm6_true,62,4960,1.0,1.0,0.000319,0.001998,1.588929,1.33609,0.14227965,0.10024674,0.0,0.00130294,0.0,1.202873,libero_object
xarm6_true,42,3360,1.0,1.0,0.000306,0.001965,1.405561,1.065154,0.14106071,0.08395581,0.0,0.00144461,0.00133112,1.202873,libero_spatial
