robot_name,num_trajectories,num_waypoints,ik_success_rate,trajectory_success_rate,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,suite
simple_default,20,800,0.3475,0.0,0.072019,0.285116,0.841093,0.001671,0.00583699,5e-08,0.68125,0.02421774,0.0,1.08,libero_goal
panda_proxy,20,800,0.22875,0.0,0.096372,0.317875,0.868451,0.018263,0.00328721,4.9e-07,0.78875,0.02555618,0.0,1.04,libero_goal
ur5_proxy,20,800,0.49625,0.0,0.04914,0.246881,0.838466,0.041394,0.01267132,1.18e-06,0.5175,0.09168857,0.0,1.113,libero_goal
xarm6_proxy,20,800,0.0625,0.0,0.173875,0.41041,0.861836,0.01116,0.0007568,4.5e-07,0.99375,0.00536944,0.0,0.946,libero_goal
