robot_name,num_trajectories,num_waypoints,ik_success_rate,trajectory_success_rate,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,orientation_tolerance_rad,mean_orientation_error_rad,max_orientation_error_rad,pose_success_rate,trajectory_pose_success_rate,suite
xarm6_true,46,3680,0.834511,0.391304,0.001675,0.022399,1.274155,0.548518,0.13211786,0.04036643,0.0,0.00998904,0.00285264,1.202873,0.1,0.042727,0.615767,0.834511,0.391304,libero_goal
xarm6_true,62,4960,0.805444,0.403226,0.001795,0.016487,1.367948,0.790029,0.1456554,0.10020752,0.0,0.00949452,0.0,1.202873,0.1,0.044095,0.461144,0.805444,0.403226,libero_object
xarm6_true,42,3360,0.684821,0.095238,0.002814,0.01811,1.163744,0.636966,0.14471317,0.05432465,0.0,0.01157416,0.00172979,1.202873,0.1,0.07027,0.448582,0.684821,0.095238,libero_spatial
