model,tool_modeling,position_ik_success_rate,position_trajectory_success_rate,pose_success_rate,trajectory_pose_success_rate,pose_mean_position_error,pose_mean_orientation_error_rad,pose_max_orientation_error_rad,target_frame
ur5e_true_attachment_site,attachment_site_only,1.0,1.0,0.966651,0.788,0.001152,0.00224,0.428595,attachment_site
ur5e_true_robotiq2f85_tcp_proxy,tcp_offset_only,1.0,1.0,0.996833,0.967333,0.000395,0.001411,0.09955,ur5e_robotiq2f85_tcp
