sample,robot_name,q,armfoundry_position,mujoco_position,position_error
31,xarm6_true,"[5.19437038, 1.27217872, -0.31180681, 0.29284862, 2.73372692, -5.69693599]","[0.10642601, -0.09354233, 0.30244369]","[0.10642601, -0.09354233, 0.30244369]",0.0
32,xarm6_true,"[-5.90256459, -1.97503664, -2.88585087, -3.15956541, -0.78647337, 0.84264826]","[-0.7231951, -0.29409928, 0.29818762]","[-0.7231951, -0.29409928, 0.29818762]",0.0
33,xarm6_true,"[-5.79327477, 0.39311697, -3.24320338, 2.23522694, -1.59107988, -2.38044511]","[0.37888256, -0.03653025, 0.7342363]","[0.37888256, -0.03653025, 0.7342363]",0.0
34,xarm6_true,"[5.50835906, 0.17717552, -0.58408772, 1.98581431, 1.25974297, -3.87983324]","[0.47557839, -0.16744489, 0.1488558]","[0.47557839, -0.16744489, 0.1488558]",0.0
35,xarm6_true,"[0.93487198, -1.89416643, -0.62496035, 5.78142165, 2.4357904, -5.6459491]","[0.0452571, -0.12684088, 0.30572792]","[0.0452571, -0.12684088, 0.30572792]",0.0
36,xarm6_true,"[-2.02745718, -0.73820552, -3.46272097, 1.59105104, 2.16239155, -2.34084502]","[0.42153123, 0.25563188, 0.5662554]","[0.42153123, 0.25563188, 0.5662554]",0.0
37,xarm6_true,"[4.5591953, 1.25178692, -3.3950834, 3.35345106, 2.57411521, -3.80405941]","[-0.08394974, -0.25616723, 0.62683931]","[-0.08394974, -0.25616723, 0.62683931]",0.0
38,xarm6_true,"[0.92540235, 0.59398411, -1.41716438, -5.07372645, 1.50360157, 1.65819197]","[0.11181443, 0.55794544, 0.16470291]","[0.11181443, 0.55794544, 0.16470291]",0.0
39,xarm6_true,"[4.07006509, 1.27830964, -2.57940069, 2.79032908, 2.49991757, 4.93792716]","[-0.25652337, -0.47032421, 0.52734948]","[-0.25652337, -0.47032421, 0.52734948]",0.0
40,xarm6_true,"[-4.25356154, -1.94809446, -1.24633716, -3.5854837, 1.03232001, 5.58957857]","[0.17567132, -0.54175355, 0.74361014]","[0.17567132, -0.54175355, 0.74361014]",0.0
