robot_name,num_trajectories,num_waypoints,ik_success_rate,trajectory_success_rate,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,orientation_tolerance_rad,mean_orientation_error_rad,max_orientation_error_rad,pose_success_rate,trajectory_pose_success_rate,group,candidate_index,candidate_kind,reference_base_x,reference_base_y,reference_base_z,reference_base_yaw,base_x,base_y,base_z,base_yaw,dx_from_reference,dy_from_reference,dz_from_reference,yaw_delta_from_reference,stage,split
xarm6_true,60,4799,0.749948,0.4,0.009985,0.109641,1.250713,0.483603,0.13413292,0.03744507,0.0,0.01268069,0.00382663,1.202873,0.1,0.024724,0.588411,0.749948,0.4,libero_goal,0,reference_base,-0.66,0.0,0.912,0.0,-0.66,0.0,0.912,0.0,0.0,0.0,0.0,0.0,search,train_search
xarm6_true,60,4799,0.926235,0.733333,0.002275,0.054407,1.324184,0.298943,0.10421073,0.03144962,0.0,0.00566682,0.00215911,1.202873,0.1,0.025975,0.865873,0.926235,0.733333,libero_goal,1,random_00,-0.66,0.0,0.912,0.0,-0.524247,0.099021,0.763458,-0.540809,0.135753,0.099021,-0.148542,-0.540809,search,train_search
xarm6_true,60,4799,0.86393,0.466667,0.007693,0.144752,1.341853,0.245679,0.12222092,0.0301343,0.0,0.00800927,0.00179144,1.202873,0.1,0.034105,0.852483,0.86393,0.466667,libero_goal,2,random_01,-0.66,0.0,0.912,0.0,-0.552658,0.24742,0.792712,-0.394774,0.107342,0.24742,-0.119288,-0.394774,search,train_search
xarm6_true,60,4799,0.973953,0.916667,0.00095,0.038806,1.208669,0.23445,0.09526342,0.02007906,0.0,0.00437243,0.00324406,1.202873,0.1,0.005639,0.325282,0.973953,0.916667,libero_goal,3,random_02,-0.66,0.0,0.912,0.0,-0.508391,-0.02051,0.878089,-0.211193,0.151609,-0.02051,-0.033911,-0.211193,search,train_search
xarm6_true,60,4799,0.038133,0.0,0.177478,0.323965,1.036181,0.546891,0.16207084,0.13326851,0.0,0.00233268,0.00144181,1.202873,0.1,0.325969,1.914052,0.038133,0.0,libero_goal,4,random_03,-0.66,0.0,0.912,0.0,-0.965302,-0.031734,0.832581,-0.155293,-0.305302,-0.031734,-0.079419,-0.155293,search,train_search
xarm6_true,60,4799,0.847468,0.433333,0.006455,0.133077,1.216176,0.228481,0.12840297,0.01864445,0.0,0.0089063,0.00627931,1.202873,0.1,0.011152,0.313194,0.847468,0.433333,libero_goal,5,random_04,-0.66,0.0,0.912,0.0,-0.631792,0.128513,0.961901,0.339786,0.028208,0.128513,0.049901,0.339786,search,train_search
xarm6_true,60,4799,0.042092,0.0,0.200214,0.39578,0.907289,0.498872,0.16061072,0.13614887,0.0,0.00053787,0.00082873,1.202873,0.1,0.258853,1.991195,0.042092,0.0,libero_goal,6,random_05,-0.66,0.0,0.912,0.0,-0.997248,0.10798,0.928825,0.491877,-0.337248,0.10798,0.016825,0.491877,search,train_search
xarm6_true,60,4799,0.959575,0.783333,0.00149,0.060317,1.110507,0.262235,0.09888258,0.02948659,0.0,0.00637835,0.02141817,1.202873,0.1,0.003206,0.272924,0.959575,0.783333,libero_goal,7,random_06,-0.66,0.0,0.912,0.0,-0.35268,-0.341024,1.043331,-0.345347,0.30732,-0.341024,0.131331,-0.345347,search,train_search
xarm6_true,60,4799,0.95249,0.733333,0.002767,0.0958,1.140864,0.243697,0.11498081,0.01750741,0.0,0.0203511,0.01882642,1.202873,0.1,0.004082,0.166604,0.95249,0.733333,libero_goal,8,random_07,-0.66,0.0,0.912,0.0,-0.572704,0.185093,1.050798,0.616844,0.087296,0.185093,0.138798,0.616844,search,train_search
xarm6_true,60,4799,0.903105,0.583333,0.005416,0.130829,1.281505,0.0,0.12355358,0.01582281,0.0,0.0067875,0.00371141,1.202873,0.1,0.016994,0.625642,0.903105,0.583333,libero_goal,9,random_08,-0.66,0.0,0.912,0.0,-0.565706,0.251446,0.911079,-0.373295,0.094294,0.251446,-0.000921,-0.373295,search,train_search
xarm6_true,60,4799,0.088352,0.0,0.113769,0.265336,0.821092,0.217491,0.15524594,0.10966012,0.0,0.00755167,0.00344743,1.202873,0.1,0.167549,1.720045,0.088352,0.0,libero_goal,10,random_09,-0.66,0.0,0.912,0.0,-0.89796,-0.001486,1.010141,-0.070919,-0.23796,-0.001486,0.098141,-0.070919,search,train_search
xarm6_true,60,4799,0.875182,0.683333,0.006693,0.114766,1.069309,0.317734,0.11767538,0.03776082,0.0,0.0056866,0.02487124,1.202873,0.1,0.008694,0.426325,0.875182,0.683333,libero_goal,11,random_10,-0.66,0.0,0.912,0.0,-0.533106,-0.262279,1.100685,-0.036542,0.126894,-0.262279,0.188685,-0.036542,search,train_search
xarm6_true,60,4799,0.991457,0.933333,0.000986,0.173014,0.921424,0.0,0.07356749,0.00406897,0.0,0.00765152,0.02279411,1.202873,0.1,0.002454,0.149282,0.991457,0.933333,libero_goal,12,random_11,-0.66,0.0,0.912,0.0,-0.431215,0.160248,1.024273,-0.163432,0.228785,0.160248,0.112273,-0.163432,search,train_search
xarm6_true,60,4799,0.048969,0.0,0.152453,0.298875,1.032507,0.585684,0.16078304,0.12874917,0.0,0.00381282,0.00181195,1.202873,0.1,0.28348,1.801367,0.048969,0.0,libero_goal,13,random_12,-0.66,0.0,0.912,0.0,-0.93258,-0.03128,0.844518,-0.14191,-0.27258,-0.03128,-0.067482,-0.14191,search,train_search
xarm6_true,60,4799,1.0,1.0,0.000505,0.001999,0.733611,0.050302,0.05331389,0.0098644,0.0,0.01176913,0.02252912,1.202873,0.1,0.002311,0.099725,1.0,1.0,libero_goal,14,random_13,-0.66,0.0,0.912,0.0,-0.315288,-0.133681,1.025004,-0.467094,0.344712,-0.133681,0.113004,-0.467094,search,train_search
xarm6_true,60,4799,0.817045,0.416667,0.005583,0.070839,1.317761,0.614556,0.12398347,0.05415338,0.0,0.00959358,0.00275904,1.202873,0.1,0.026378,0.732074,0.817045,0.416667,libero_goal,15,random_14,-0.66,0.0,0.912,0.0,-0.594417,-0.107304,0.808952,-0.150323,0.065583,-0.107304,-0.103048,-0.150323,search,train_search
xarm6_true,60,4800,0.873542,0.383333,0.004171,0.084693,1.447062,0.550216,0.14187714,0.10032928,0.0,0.00908086,0.0,1.202873,0.1,0.007514,0.205303,0.873542,0.383333,libero_object,0,reference_base,-0.6,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,search,train_search
xarm6_true,60,4800,0.401667,0.0,0.036519,0.170557,1.146602,0.427422,0.15869097,0.13094568,0.0,0.021048,0.0,1.202873,0.1,0.056502,0.38636,0.401667,0.0,libero_object,1,random_00,-0.6,0.0,0.0,0.0,-0.718812,-0.066376,0.029895,0.00896,-0.118812,-0.066376,0.029895,0.00896,search,train_search
