robot_name,num_trajectories,num_waypoints,ik_success_rate,trajectory_success_rate,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,suite
xarm6_true,500,39981,1.0,1.0,0.000283,0.001999,1.478884,0.976958,0.13174309,0.06216354,0.0,0.00108283,0.0025789,1.202873,libero_goal
xarm6_true,500,40000,1.0,1.0,0.000312,0.001999,1.588013,1.314739,0.14152138,0.0961393,0.0,0.00126321,0.0,1.202873,libero_object
xarm6_true,500,39994,1.0,1.0,0.000294,0.002,1.424186,0.97659,0.14401568,0.08166186,0.0,0.00143637,0.00172614,1.202873,libero_spatial
